annotator_id,text_ids
1,"['1179083005308145664_twitter', '1179069130126827521_twitter', '1178628912663805957_twitter', '1179088137022083073_twitter', '11754870_gab', '1178828752379400193_twitter', '1179080158340407297_twitter', '1178294026237292546_twitter', '1179105068295114752_twitter', '10027973_gab', '1178970339461742592_twitter', '5506027_gab', '1179060056563818504_twitter', '1179095090590969857_twitter', '1179096589052325891_twitter', '1179074456225894400_twitter', '1179099597702078464_twitter', '26871494_gab', '16275184_gab', '1179079609696096263_twitter']"
2,"['1178771301248503809_twitter', '1179088840486801408_twitter', '1178793830532956161_twitter', '1178925606307844097_twitter', '1178788279891546112_twitter', '1177992951974285312_twitter', '16275184_gab', '1179030196160208896_twitter', '1179071481344643072_twitter', '1178639751412404225_twitter', '1177798518422921218_twitter', '2867627_gab', '22358188_gab', '15539140_gab', '1178799528960503808_twitter', '1179090261110071298_twitter', '1179103087690047488_twitter', '1179094136097513472_twitter', '1178827098921865216_twitter', '1178931079723405317_twitter']"
3,"['1178875874487209984_twitter', '14818066_gab', '1178857406236745729_twitter', '19285275_gab', '27903408_gab', '12613339_gab', '23877736_gab', '1170748370593472515_twitter', '12040606_gab', '18214234_gab', '13929223_gab', '1178773745902723072_twitter', '27320709_gab', '1178827967323082759_twitter', '8145373_gab', '13651130_gab', '1179099203751968768_twitter', '1179103786079535104_twitter', '1178831019711045632_twitter', '14640028_gab']"
4,"['10472215_gab', '1178408717022191616_twitter', '1179041517421228032_twitter', '19330428_gab', '14956810_gab', '1178455357057851393_twitter', '1179092356047540225_twitter', '1179101615292370949_twitter', '1178481085476421633_twitter', '1123295873218293760_twitter', '24021724_gab', '1144390831601852416_twitter', '17002489_gab', '1178965453135179776_twitter', '1178251992801533952_twitter', '1087878998263095297_twitter', '1178150335677960193_twitter', '1178803209999020032_twitter', '4450848_gab', '1178812336204894208_twitter']"
5,"['1178782405492170754_twitter', '1179086469169897472_twitter', '1179105162545098752_twitter', '1179047123351937024_twitter', '18424064_gab', '1179103742672674816_twitter', '19734849_gab', '1178836489486118923_twitter', '1179100927342465024_twitter', '1178345903821905926_twitter', '22088480_gab', '23316682_gab', '1178428981592375297_twitter', '1178752718577569795_twitter', '19679648_gab', '1178759746683146240_twitter', '1178697435033587712_twitter', '1177581706699628544_twitter', '1179088477868175362_twitter', '1179051623290753025_twitter']"
6,"['1109896674166624256_twitter', '1181139251259305984_twitter', '8201131_gab', '11501820_gab', '1081197157439426560_twitter', '25470749_gab', '21506301_gab', '27546625_gab', '16561139_gab', '1180765350025207808_twitter', '1123227111810945024_twitter', '1159278048069464065_twitter', '22972942_gab', '26342460_gab', '1118579093153382400_twitter', '1086430013044543495_twitter', '1117676869027975169_twitter', '4324362_gab', '1181424799488385025_twitter', '9857210_gab']"
7,"['1185324147418812416_twitter', '1142922938422898688_twitter', '1111411786790498304_twitter', '1142348868228669440_twitter', '3337900_gab', '1165704732645740544_twitter', '1177750706603859969_twitter', '1088890307884838918_twitter', '1118579093153382400_twitter', '9000541_gab', '1108932466599813120_twitter', '1081338555794890752_twitter', '1184694032947007491_twitter', '1170331481966862336_twitter', '1165819983701643266_twitter', '1166003610335023108_twitter', '15827407_gab', '1187186514855378945_twitter', '1087182794130903041_twitter', '22580475_gab']"
8,"['1162817415685857280_twitter', '1144390831601852416_twitter', '1164958444329295873_twitter', '1098403782088634368_twitter', '1178071277262852097_twitter', '1117228200138960897_twitter', '1092608520648880129_twitter', '1142806529743183872_twitter', '1104254198621696000_twitter', '1087128486295359488_twitter', '1179078926955683841_twitter', '1122719949137465344_twitter', '1173807914034679808_twitter', '1084991014455201794_twitter', '1122981615016271872_twitter', '1179073008977108992_twitter', '1165629440665235459_twitter', '1118264738478198784_twitter', '1117069735126921216_twitter', '1118282845263421445_twitter']"
9,"['13509836_gab', '1178291708406009856_twitter', '26820144_gab', '20923810_gab', '22972942_gab', '1178994148348747778_twitter', '16705606_gab', '23801279_gab', '1178075758935150592_twitter', '1179092902913495040_twitter', '26432575_gab', '1179100968660717568_twitter', '1178988436864294913_twitter', '1178771184701362177_twitter', '6302210_gab', '1179089114701824000_twitter', '1178858230824370176_twitter', '1179100244300181504_twitter', '3775928_gab', '24549535_gab']"
10,"['1179084736037302272_twitter', '1178685949661855747_twitter', '1178812941405171713_twitter', '17363428_gab', '12475012_gab', '1178145888922939393_twitter', '1178377999282036736_twitter', '1179067396163813378_twitter', '1178849118577254401_twitter', '1178774862569070597_twitter', '1177931546822680576_twitter', '23497268_gab', '1178692320201527307_twitter', '1178799429236789248_twitter', '19756575_gab', '16062403_gab', '1178778446589288454_twitter', '1178393514364805125_twitter', '18437791_gab', '1179103998755913728_twitter']"
11,"['14408681_gab', '17725589_gab', '24227903_gab', '1178905338386567168_twitter', '1178694945319858184_twitter', '1179047465502363648_twitter', '1178808881956261890_twitter', '12964807_gab', '1179079464103354368_twitter', '27243541_gab', '1178837672699269126_twitter', '15008414_gab', '12731678_gab', '1178860135747379200_twitter', '1179022900780601346_twitter', '1517164_gab', '17592154_gab', '10590985_gab', '1179105169050615809_twitter', '19168145_gab']"
12,"['362E9TQF2HRABD89HARI0Y2GDU9GIX_nf_6', '15314538_gab', '16324773_gab', '23308776_gab', '18851024_gab', '1179100135315390464_twitter', '15295049_gab', '12691758_gab', '26031285_gab', '27704094_gab', '20606833_gab', '1178473114432352259_twitter', '15473637_gab', '10532619_gab', '1178992145933459456_twitter', '27201633_gab', '14994943_gab', '1179099538495115264_twitter', '20081043_gab', '15284640_gab']"
13,"['17570445_gab', '19246256_gab', '3213412_gab', '6088273_gab', '1178496950754263041_twitter', '10212367_gab', '17819498_gab', '19346774_gab', '10688848_gab', '26830040_gab', '21113479_gab', '23161218_gab', '19806318_gab', '27024916_gab', '22768622_gab', '20856410_gab', '24463222_gab', '23334966_gab', '21296057_gab', '27585514_gab']"
14,"['13240915_gab', '1179029822712029185_twitter', '1178964195510906880_twitter', '21889137_gab', '1178908884578308096_twitter', '1178807797745700874_twitter', '1179104814782763008_twitter', '1178912016574160896_twitter', '16909050_gab', '1178819413287546884_twitter', '12326526_gab', '1179075228430790656_twitter', '1178340389662711809_twitter', '1178510237520805888_twitter', '1179060076474195970_twitter', '1178992045312151552_twitter', '1179050544075137026_twitter', '16123013_gab', '17988573_gab', '1179063343568449536_twitter']"
15,"['27055008_gab', '27209395_gab', '5325210_gab', '24570164_gab', '20149987_gab', '10372292_gab', '8568593_gab', '16404022_gab', '13536543_gab', '27058756_gab', '19085590_gab', '18974594_gab', '20407157_gab', '1179103760922157060_twitter', '18853541_gab', '8320068_gab', '17389341_gab', '9223199_gab', '10043208_gab', '22080231_gab']"
16,"['1178851751618891776_twitter', '1178790620896354310_twitter', '1090581056984633344_twitter', '1178741111650537472_twitter', '1180885235828789249_twitter', '1176788197709361152_twitter', '1178741820660080642_twitter', '1174306553895120896_twitter', '1106221666949042181_twitter', '1122390369122099200_twitter', '1165819983701643266_twitter', '1109959500633702401_twitter', '1087092876666945543_twitter', '1139149033736482817_twitter', '1123221336254554112_twitter', '1098421662385614849_twitter', '1179024656780681216_twitter', '1087114213099745281_twitter', '1178694780680720385_twitter', '1179070907744243712_twitter']"
17,"['1179047556535455744_twitter', '1179003152911290368_twitter', '1178956180216934400_twitter', '1178896349594411008_twitter', '1178368015068319745_twitter', '1179004832763518976_twitter', '14870364_gab', '1178926058688696320_twitter', '1178716609004867588_twitter', '23290934_gab', '1178742610074226689_twitter', '1179091617225023488_twitter', '1179091091489865729_twitter', '14531140_gab', '13534065_gab', '1178823449046700032_twitter', '1178740819529891840_twitter', '19685625_gab', '19530127_gab', '4473541_gab']"
18,"['1179009926590533633_twitter', '1178796149106515968_twitter', '1179105337292607491_twitter', '1179090355960139778_twitter', '1178757760319668226_twitter', '1178053859853377536_twitter', '1179029653861756928_twitter', '1178834321131659264_twitter', '1179045043803283456_twitter', '1179092284350046208_twitter', '1178834761533407232_twitter', '12845065_gab', '8822625_gab', '1177410989118984193_twitter', '1178764150811455488_twitter', '1179104109024165893_twitter', '1178799528960503808_twitter', '1178992045312151552_twitter', '1179098325859147779_twitter', '1179103283446718465_twitter']"
