id,text,label_M_1,label_M_2,label_M_3,label_M_4,label_M_5,label_M_6,label_M_7,label_M_8,label_F_9,label_F_10,label_F_11,label_M_12,label_M_13,label_F_14,label_F_15,label_F_16,label_F_17,label_F_18,label_F_19,label_F_20
172,[USER] [USER] you're reading you coon,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
106,[USER] Yes you do retard.,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful
94,[USER] [USER] [USER] [USER] omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
60,I just wanna slit this mf throat,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful
97,Lol my brother a fag Mann,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful
191,[USER] [USER] send them damn beaners back where they belong n the US aint it,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful
33,[USER] ur not sassy white trash change ur username,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful
146,[USER] and the plastic surgery of a tranny.,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful
15,Happppppy Birthdayyyy lol. Niggahs is really 21 in this bitch. [URL],Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful
36,"[USER] hell yea,I'm surrounded by hillbillys an real ass rednecks",Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful
156,[USER] [USER] [USER] [USER] shut up nigger,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful
23,[USER]: Been my main nigguh since digital camera selfies [USER] [URL],Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful
150,Still confused why King ordered two tranny hookers to the party last night..,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful
76,"[USER]: Life's a bitch, but that's the only love I know",Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful
71,[USER] shut up bitch for I spit on you,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
139,Stop whacking off in the shower queer boy! [USER],Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful
81,"When did gum get so soft, you sons of bitches.",Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful
29,[USER] the favorite drink of white trash everywhere....,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful
